County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Marion ,FL,34420,Belleview,20.54,18.19,overcast clouds,19.37,1637409361,1637447522,-82.0375,29.0531
Marion ,GA,31058,Mauk,12.97,10.54,clear sky,10.14,1637410332,1637447685,-84.3999,32.509
Marion ,IA,50044,Bussey,8.43,4.7,overcast clouds,6.17,1637413560,1637448535,-92.8963,41.2094
Marion ,IL,62801,Centralia,10.15,7.84,clear sky,7.52,1637412258,1637448032,-89.1365,38.5241
Marion ,IN,46107,Beech Grove,6.04,0.62,clear sky,1.68,1637411700,1637447129,-86.0933,39.7154
Marion ,KS,66851,Florence,10.47,7.94,overcast clouds,7.51,1637414091,1637449943,-96.9346,38.2415
Marion ,KY,40009,Bradfordsville,10.19,5.0,overcast clouds,7.15,1637411151,1637447223,-85.1436,37.4662
Marion ,MO,63401,Hannibal,11.61,10.15,broken clouds,8.96,1637412970,1637448400,-91.3839,39.7064
Marion ,MS,39429,Columbia,15.88,13.69,clear sky,14.33,1637411478,1637449130,-89.7998,31.2559
Marion ,OH,43302,Marion,6.84,2.62,clear sky,4.26,1637411118,1637446287,-83.1271,40.5876
Marion ,OR,97002,Aurora,8.84,4.68,clear sky,5.47,1637421415,1637455039,-122.8039,45.2284
Marion ,SC,29519,Centenary,12.3,8.45,overcast clouds,8.8,1637409307,1637446287,-79.3537,34.027
Marion ,TN,37340,Guild,9.97,2.69,overcast clouds,6.22,1637410912,1637447638,-85.5116,35.0178
Marion ,TX,75630,Avinger,18.01,14.99,few clouds,16.73,1637412818,1637450086,-94.5795,32.8485
Marion ,WV,26554,Fairmont,6.81,-0.18,overcast clouds,3.42,1637410257,1637445753,-80.2213,39.4941
Mariposa ,CA,93623,Fish Camp,8.48,3.98,clear sky,5.53,1637419438,1637455497,-119.6404,37.4785
Marlboro ,SC,29512,Bennettsville,12.11,5.69,overcast clouds,9.39,1637409464,1637446291,-79.6898,34.6255
Marquette ,MI,49808,Big Bay,1.07,-2.77,clear sky,-4.87,1637413283,1637446331,-87.7285,46.8158
Marquette ,WI,53920,Briggsville,4.48,-1.02,broken clouds,-1.51,1637413163,1637447340,-89.5803,43.6759
Marshall ,AL,35016,Arab,10.32,4.23,broken clouds,5.57,1637411059,1637447961,-86.4896,34.3283
Marshall ,IA,50005,Albion,7.1,3.84,overcast clouds,2.73,1637413725,1637448414,-92.9882,42.1143
Marshall ,IL,61369,Toluca,8.63,4.88,overcast clouds,4.57,1637412625,1637447664,-89.1348,41.0046
Marshall ,IN,46501,Argos,5.94,2.14,few clouds,2.63,1637411967,1637446937,-86.2506,41.2308
Marshall ,KS,66403,Axtell,6.95,5.81,overcast clouds,4.83,1637414167,1637449547,-96.2676,39.8707
Marshall ,KY,42025,Benton,10.41,4.76,overcast clouds,6.17,1637411842,1637448073,-88.3548,36.8806
Marshall ,MN,56710,Alvarado,0.16,-3.98,scattered clouds,-7.3,1637415782,1637448279,-96.9915,48.202
Marshall ,MS,38611,Byhalia,12.91,8.86,clear sky,10.03,1637411896,1637448654,-89.6763,34.8854
Marshall ,OK,73439,Kingston,18.52,16.01,broken clouds,16.83,1637413466,1637450461,-96.712,33.9517
Marshall ,SD,57232,Eden,0.03,-4.17,few clouds,-7.4,1637415377,1637448868,-97.3741,45.6211
Marshall ,TN,37034,Chapel Hill,10.51,3.83,broken clouds,5.36,1637411274,1637447838,-86.6836,35.6354
Marshall ,WV,26031,Benwood,7.68,3.53,overcast clouds,4.8,1637410458,1637445799,-80.7342,40.0181
Martin ,FL,34956,Indiantown,24.95,21.62,overcast clouds,23.9,1637408767,1637447368,-80.4803,27.0615
Martin ,IN,47522,Crane,7.53,2.83,overcast clouds,3.45,1637411774,1637447443,-86.9002,38.8949
Martin ,KY,41203,Beauty,11.22,2.75,scattered clouds,7.79,1637410553,1637446522,-82.439,37.8401
Martin ,MN,56031,Fairmont,4.28,0.89,clear sky,0.07,1637414327,1637448515,-94.451,43.6376
Martin ,NC,27840,Hamilton,9.35,2.13,overcast clouds,3.05,1637409040,1637445525,-77.2097,35.9446
Martin ,TX,79713,Ackerly,21.06,16.76,few clouds,19.57,1637414492,1637451837,-101.716,32.5273
Mason ,IL,61532,Forest City,10.74,5.6,overcast clouds,8.08,1637412695,1637447930,-89.8334,40.3594
Mason ,KY,41034,Dover,9.3,3.58,overcast clouds,6.88,1637411018,1637446745,-83.8718,38.691
Mason ,MI,49402,Branch,8.15,1.82,scattered clouds,2.62,1637412355,1637446446,-86.0345,43.9333
Mason ,TX,76820,Art,17.99,15.98,few clouds,16.81,1637413642,1637451407,-99.0486,30.767
Mason ,WA,98524,Allyn,7.78,3.95,clear sky,5.6,1637421828,1637454652,-122.8587,47.3571
Mason ,WV,25106,Henderson,7.96,2.51,clear sky,4.63,1637410620,1637446309,-82.1364,38.8265
Massac ,IL,62908,Belknap,9.99,7.01,overcast clouds,6.9,1637412046,1637448155,-88.9507,37.3266
Matagorda ,TX,77414,Bay City,22.2,19.05,clear sky,20.3,1637412672,1637450873,-95.9173,28.8636
Matanuska-Susitna Borough,AK,99645,Palmer,-15.7,-23.52,clear sky,-25.05,1637432376,1637456648,-148.9872,61.6303
Mathews ,VA,23021,Bohannon,8.0,2.81,overcast clouds,2.67,1637409031,1637445126,-76.3614,37.3905
Maui ,HI,96708,Haiku,28.45,24.95,scattered clouds,26.66,1637426339,1637466196,-156.3,20.9071
Maunabo Municipio,PR,00707,Maunabo,27.96,22.82,broken clouds,25.4,1637404353,1637444781,-65.9,18.0
Maury ,TN,38401,Columbia,11.52,4.4,clear sky,7.6,1637411357,1637447926,-87.038,35.6156
Maverick ,TX,78852,Eagle Pass,24.16,18.54,clear sky,22.54,1637413751,1637451987,-100.4818,28.7028
Mayagez Municipio,PR,00680,Mayaguez,26.14,23.47,scattered clouds,25.53,1637404670,1637445060,-67.14,18.2
Mayes ,OK,74330,Adair,14.43,11.16,overcast clouds,11.31,1637413440,1637449796,-95.2732,36.4115
McClain ,OK,73010,Blanchard,16.66,11.72,overcast clouds,14.25,1637413838,1637450534,-97.6401,35.1192
McCone ,MT,59201,Wolf Point,4.45,2.12,clear sky,0.18,1637417839,1637450369,-105.6293,48.1119
McCook ,SD,57012,Canistota,5.76,2.33,overcast clouds,1.48,1637415000,1637449204,-97.2889,43.5856
McCormick ,SC,29821,Clarks Hill,9.57,4.62,scattered clouds,6.55,1637409931,1637447004,-82.1488,33.6505
McCracken ,KY,42001,Paducah,10.87,6.61,broken clouds,7.48,1637411941,1637448122,-88.6632,37.0634
McCreary ,KY,42631,Marshes Siding,9.49,3.94,overcast clouds,6.87,1637410903,1637447163,-84.5025,36.7773
McCulloch ,TX,76825,Brady,19.67,16.8,clear sky,17.71,1637413756,1637451431,-99.3372,31.1509
McCurtain ,OK,74722,Battiest,16.33,13.17,overcast clouds,15.6,1637413093,1637449976,-94.9249,34.3934
McDonald ,MO,64831,Anderson,13.89,10.71,overcast clouds,11.71,1637413273,1637449565,-94.4436,36.6506
McDonough ,IL,61411,Adair,10.49,5.18,clear sky,7.19,1637412860,1637448087,-90.5037,40.3852
McDowell ,NC,28749,Little Switzerland,2.45,-5.11,overcast clouds,-1.55,1637410199,1637446708,-82.0904,35.8493
McDowell ,WV,24801,Welch,8.95,-1.42,scattered clouds,1.81,1637410291,1637446373,-81.5846,37.4329
McDuffie ,GA,30808,Dearing,9.77,6.07,clear sky,7.0,1637409960,1637447094,-82.3955,33.407
McHenry ,IL,60012,Crystal Lake,7.95,2.82,overcast clouds,5.57,1637412628,1637447271,-88.3213,42.2662
