County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
St. Clair,AL,35004,Moody,10.75,3.47,overcast clouds,5.97,1637756785,1637793557,-86.4668,33.6035
St. Clair,IL,62059,Lovejoy,15.83,13.25,scattered clouds,13.52,1637758305,1637793725,-89.9835,38.44
St. Clair,MI,48001,Algonac,8.55,7.0,overcast clouds,3.84,1637757200,1637791279,-82.5866,42.6367
St. Clair,MO,64724,Appleton City,17.18,13.62,overcast clouds,15.8,1637759237,1637794732,-94.0229,38.1848
St. Croix,WI,54002,Baldwin,2.52,-0.44,overcast clouds,-2.97,1637759967,1637793207,-92.3655,44.9657
St. Francis,AR,72322,Caldwell,14.97,11.93,overcast clouds,13.98,1637758026,1637794410,-90.8288,35.0562
St. Francois,MO,63036,French Village,14.75,12.82,overcast clouds,12.62,1637758339,1637793891,-90.4005,37.9961
St. Helena Parish,LA,70441,Greensburg,17.2,15.01,broken clouds,16.05,1637757461,1637794925,-90.7256,30.8647
St. James Parish,LA,70052,Gramercy,18.99,16.66,broken clouds,17.7,1637757354,1637795016,-90.6902,30.0527
St. John the Baptist Parish,LA,70049,Edgard,19.0,15.03,broken clouds,17.77,1637757325,1637794992,-90.5817,30.0319
St. Johns,FL,32033,Elkton,16.99,11.2,overcast clouds,14.14,1637755106,1637792833,-81.462,29.7882
St. Joseph,IN,46530,Granger,10.83,7.29,clear sky,9.04,1637757903,1637792283,-86.1411,41.7427
St. Joseph,MI,49030,Burr Oak,9.2,7.69,broken clouds,5.78,1637757726,1637792072,-85.3345,41.8459
St. Landry Parish,LA,70512,Arnaudville,21.02,17.01,overcast clouds,19.85,1637757692,1637795271,-91.9263,30.3981
St. Lawrence,NY,12922,Childwold,-0.47,-5.25,broken clouds,-4.5,1637755592,1637789089,-74.6759,44.2867
St. Louis,MN,55602,Brimson,-0.93,-3.62,overcast clouds,-7.63,1637760308,1637792624,-91.8625,47.3142
St. Louis,MO,63005,Chesterfield,16.86,13.63,overcast clouds,14.37,1637758485,1637793847,-90.6142,38.6318
St. Louis city,MO,63101,Saint Louis,16.99,13.3,overcast clouds,14.16,1637758384,1637793746,-90.1913,38.6346
St. Lucie,FL,34945,Fort Pierce,22.0,17.79,overcast clouds,20.18,1637754586,1637792864,-80.444,27.4382
